,IsCanceled
0,0
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
10,0
11,0
13,0
14,1
15,0
16,1
19,1
20,1
21,1
24,1
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,0
73,1
75,0
76,0
78,0
79,1
80,0
82,1
83,1
85,1
86,0
87,0
90,0
103,0
116,1
117,1
118,0
119,1
120,1
121,1
123,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
151,0
152,0
166,0
170,1
171,0
173,0
190,0
194,0
196,0
197,1
200,1
203,0
214,0
225,0
226,1
227,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,1
243,1
251,0
259,0
265,0
267,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
283,0
287,1
288,0
289,0
297,0
300,0
306,0
310,0
313,0
314,0
317,0
321,0
326,1
327,1
328,1
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
343,0
344,1
345,1
346,1
348,0
349,0
355,0
356,1
366,0
369,0
374,0
376,0
380,0
381,0
382,0
383,0
384,0
386,1
390,0
393,0
395,0
397,0
398,0
404,0
407,0
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,1
424,0
432,0
433,0
434,0
437,1
438,0
441,0
453,0
462,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,0
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,0
499,1
500,0
501,0
502,0
503,1
505,1
506,0
511,1
512,0
514,1
515,1
518,0
524,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,0
545,1
548,0
561,0
567,0
568,0
573,0
575,0
576,1
577,1
579,0
580,0
581,0
582,0
583,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
593,0
594,0
595,0
596,0
597,0
598,1
600,0
606,0
607,1
608,0
611,0
615,0
619,1
620,0
621,0
626,0
630,0
632,0
634,0
635,0
637,1
646,0
647,0
650,0
653,0
656,0
659,0
664,0
668,1
670,0
671,0
672,0
673,0
674,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
706,1
707,0
708,0
709,0
711,0
712,0
716,0
717,0
719,0
728,0
729,0
731,0
737,0
739,0
741,0
746,0
747,0
748,0
749,1
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
768,0
769,1
770,0
771,0
773,0
774,1
775,0
776,0
779,1
780,0
781,0
782,0
785,0
787,0
804,0
815,0
816,0
817,1
818,0
820,0
823,0
825,0
828,0
832,0
836,0
846,0
848,0
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,0
860,0
863,0
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,1
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
896,0
897,0
899,1
900,0
902,0
906,0
912,0
913,1
914,0
918,0
922,0
923,1
924,0
925,0
926,0
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,1
949,0
950,1
951,0
953,0
954,0
957,0
958,0
959,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
984,1
985,0
986,0
987,1
988,0
989,0
991,1
992,0
993,0
994,0
995,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1035,0
1037,0
1039,1
1041,0
1052,0
1055,1
1059,0
1061,0
1064,0
1065,0
1066,0
1067,0
1068,1
1069,1
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,1
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,1
1101,0
1102,1
1104,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,1
1116,1
1117,1
1120,1
1121,0
1127,0
1131,0
1156,0
1175,0
1183,0
1196,0
1239,0
1253,0
1258,0
1266,0
1278,1
1279,1
1280,0
1281,0
1282,0
1285,0
1286,0
1287,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1296,0
1297,0
1298,0
1299,1
1300,0
1301,0
1304,1
1305,0
1310,1
1313,0
1314,0
1316,0
1318,0
1326,0
1329,0
1330,0
1331,1
1332,1
1333,0
1334,0
1339,0
1341,1
1343,0
1344,1
1347,0
1349,1
1352,0
1353,0
1359,0
1360,0
1361,1
1363,0
1367,0
1370,0
1372,1
1373,0
1375,0
1377,0
1378,0
1379,0
1380,0
1381,1
1382,1
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1393,1
1394,0
1395,0
1397,0
1398,0
1399,1
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,1
1407,0
1408,0
1411,0
1414,1
1415,0
1416,0
1418,0
1421,0
1425,0
1426,0
1428,0
1429,0
1430,0
1435,0
1436,0
1437,0
1438,0
1439,1
1440,0
1441,1
1442,0
1443,1
1444,1
1446,0
1447,0
1448,0
1449,1
1450,0
1451,0
1452,0
1454,1
1455,1
1456,0
1457,1
1458,1
1459,0
1460,1
1461,1
1462,0
1463,0
1464,1
1465,0
1467,1
1468,0
1477,0
1478,1
1479,0
1480,1
1481,0
1482,0
1483,0
1486,0
1490,0
1492,1
1494,0
1495,0
1496,0
1497,1
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,1
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,1
1516,1
1517,0
1518,1
1520,1
1521,0
1522,0
1523,0
1524,0
1525,0
1526,1
1527,0
1528,0
1529,0
1533,0
1534,0
1535,0
1536,0
1537,1
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,1
1572,0
1573,0
1574,0
1576,0
1577,0
1578,1
1579,0
1580,0
1581,1
1583,0
1584,0
1585,0
1586,1
1587,0
1588,0
1589,1
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,1
1611,1
1612,0
1613,1
1614,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1631,0
1632,1
1633,0
1634,0
1635,0
1636,0
1637,1
1638,0
1639,1
1640,1
1641,0
1643,0
1644,0
1645,0
1648,0
1649,1
1651,0
1652,0
1653,0
1654,0
1655,1
1656,0
1657,1
1658,1
1659,0
1660,0
1661,1
1662,0
1668,0
1673,0
1674,0
1676,0
1677,0
1683,0
1686,0
1689,0
1690,1
1691,1
1692,1
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,1
1700,0
1701,0
1702,0
1703,0
1705,0
1706,0
1707,0
1708,0
1709,1
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1720,1
1722,0
1723,0
1729,0
1731,0
1735,0
1738,0
1744,0
1748,0
1749,0
